code,kappa,f2,Mf2,ma,mb,mass,q,eos,gamma,R
whisky,260.887,2.356,0.030,1.300,1.300,2.600,1.000,ALF2,2.000,-0.000
sacra,261.600,2.310,0.030,1.300,1.300,2.600,1.000,H4,1.800,-0.001
sacra,262.500,2.260,0.029,1.350,1.250,2.600,1.080,H4,1.800,-0.001
sacra,266.400,2.370,0.030,1.400,1.200,2.600,1.167,H4,1.800,0.000
sacra,267.600,2.045,0.028,1.400,1.400,2.800,1.000,MS1,1.800,-0.002
whisky,271.519,2.425,0.031,1.300,1.300,2.600,1.000,GNH3,2.000,0.001
whisky,277.560,2.127,0.030,1.450,1.450,2.900,1.000,Gamma2,2.000,0.001
whisky,279.590,2.355,0.030,1.350,1.250,2.600,1.080,GNH3,2.000,0.001
bam,290.000,2.000,0.027,1.350,1.350,2.700,1.000,MS1b,1.750,-0.003
whisky,292.181,2.377,0.030,1.275,1.275,2.550,1.000,ALF2,2.000,0.001
whisky,306.188,2.302,0.029,1.275,1.275,2.550,1.000,GNH3,2.000,0.000
whisky,324.656,2.183,0.031,1.425,1.425,2.850,1.000,Gamma2,2.000,0.003
bam,325.000,1.994,0.027,1.350,1.350,2.700,1.000,MS1,1.750,-0.001
sacra,326.400,2.020,0.027,1.350,1.350,2.700,1.000,MS1,1.800,-0.001
bam,327.000,1.950,0.026,1.350,1.350,2.700,1.000,MS1,1.750,-0.002
sacra,327.100,2.050,0.027,1.400,1.300,2.700,1.077,MS1,1.800,-0.001
whisky,327.469,2.247,0.028,1.250,1.250,2.500,1.000,H4,2.000,-0.000
bam,331.000,2.065,0.027,1.450,1.250,2.700,1.160,MS1,1.750,-0.000
sacra,331.900,2.050,0.027,1.450,1.250,2.700,1.160,MS1,1.800,-0.000
sacra,335.700,2.110,0.028,1.500,1.200,2.700,1.250,MS1,1.800,0.001
whisky,345.450,2.272,0.028,1.250,1.250,2.500,1.000,GNH3,2.000,0.001
whisky,379.312,2.061,0.028,1.400,1.400,2.800,1.000,Gamma2,2.000,0.002
sacra,399.300,1.960,0.025,1.300,1.300,2.600,1.000,MS1,1.800,-0.001
bam,439.000,1.870,0.025,1.350,1.350,2.700,1.000,2H,1.750,0.000
bam,441.000,2.080,0.026,1.400,1.100,2.500,1.273,MS1b,1.750,0.001
whisky,442.800,2.004,0.027,1.375,1.375,2.750,1.000,Gamma2,2.000,0.002
bam,461.000,1.874,0.023,1.500,1.000,2.500,1.500,MS1b,1.750,-0.001
whisky,516.619,1.930,0.026,1.350,1.350,2.700,1.000,Gamma2,2.000,0.002
